,i,itr,dvfs,rate,policy,nwindows,CheckpointInterval,CheckpointMode,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
9,0,1,1,18000,ondemand,8,15000,exactly_once,71.07,2.65,16.86,0.27,1094.919618055556,2.7678813639253805,0.0,0.0,2.1041666666666665,0.6542132063904585,0.0,0.0,0.21041666666666664,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,10.058823529411764,18.338229397612142,0.0,1.0058823529411764,2250.7418981481483,84.15060741036399,2189.813425925926,30.27809522014722,598.1474673202614,112.6676149133665,0.0,0.0,59.814746732026144,0.0,20
10,0,1,1,18000,ondemand,12,15000,exactly_once,67.37,3.43,16.46,0.48,1097.141203703704,3.798262906322922,0.0,0.0,2.388888888888889,0.7250155533239001,0.0,0.0,0.23888888888888885,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,1.6470588235294117,4.714697625767972,0.0,0.1647058823529411,1500.4691040305013,89.7270450126964,1463.3584604212056,23.138569871347332,399.88126361655776,96.19878442741715,0.0,0.0,39.98812636165577,0.0,20
11,0,1,1,18000,ondemand,16,15000,exactly_once,65.89,4.42,16.1,0.62,1095.0839699074074,18.61385230437457,0.0,0.0,1.6111111111111112,0.4917912165653058,0.0,0.0,0.1611111111111111,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.6470588235294118,2.588235294117647,0.0,0.0647058823529411,1124.8748331971678,77.29494299618992,1095.0876157407406,18.188601804693473,310.4023692810457,73.45499484126395,0.0,0.0,31.040236928104576,0.0,20
12,0,1,1,24000,ondemand,4,15000,exactly_once,68.02,3.31,16.93,0.12,844.662673611111,36.60143073515246,0.0,0.0,1.6701388888888888,0.5740353892412787,0.0,0.0,0.16701388888888885,0.0,0.0,0.0,13978.793137254905,528.0887595311027,0.0,0.0,927.0588235294116,5.428363291792625,0.0,92.70588235294116,3481.397916666667,184.53000722180585,3383.092592592592,157.09949671027064,930.5098039215687,87.39213408772912,0.0,0.0,93.05098039215686,0.0,20
13,0,1,1,24000,ondemand,8,15000,exactly_once,78.94,4.15,17.2,0.13,1426.1818865740743,27.612689576439372,0.0,0.0,2.4444444444444446,0.6078279990130498,0.0,0.0,0.2444444444444444,0.0,0.0,0.0,23463.97549019608,460.2712893585325,0.0,0.0,367.7647058823529,221.148746697986,0.0,36.77647058823529,2935.566087962963,121.10511845907423,2853.114814814815,66.25382827200724,860.5800653594772,120.97210761526593,0.0,0.0,86.05800653594771,0.0,20
14,0,1,1,24000,ondemand,12,15000,exactly_once,78.11,2.6,17.04,0.19,1457.5899305555556,6.3734962829862125,0.0,0.0,2.4166666666666665,0.6119805358055378,0.0,0.0,0.24166666666666664,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,1.7058823529411764,6.8235294117647065,0.0,0.1705882352941176,1999.6246414306463,105.7642715945888,1945.6524691358027,30.62200325391105,549.6712962962962,126.80686419792544,0.0,0.0,54.967129629629625,0.0,20
15,0,1,1,24000,ondemand,16,15000,exactly_once,76.48,3.47,16.94,0.41,1462.9938657407408,23.73796848771613,0.0,0.0,1.9652777777777777,0.4424603360763443,0.0,0.0,0.19652777777777775,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.5114583333334,101.78664339725805,1462.9905671296297,23.27255915414135,418.27696078431376,101.75512686821236,0.0,0.0,41.82769607843137,0.0,20
0,0,1,1,6000,ondemand,4,10000,exactly_once,48.11,4.26,15.29,0.7,349.83515625000007,52.92532184389477,0.0,0.0,1.390625,0.5815796831556473,0.0,0.0,0.13906249999999995,0.0,0.0,0.0,5900.0,405.93424183684255,0.0,0.0,0.0,0.0,0.0,0.0,1465.3213929521278,196.3868222569369,1404.8315233451538,197.1984434079977,409.85372340425533,92.71620867248402,0.0,0.0,40.98537234042553,0.0,20
1,0,1,1,6000,ondemand,8,10000,exactly_once,42.22,4.72,14.26,0.75,365.165162037037,1.8978614514326135,0.0,0.0,1.3854166666666667,0.7256707486170876,0.0,0.0,0.13854166666666662,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.968804466231,84.7154413874747,730.335648148148,10.05005063508153,201.4097222222222,68.62376895896884,0.0,0.0,20.14097222222222,0.0,20
2,0,1,1,6000,ondemand,12,10000,exactly_once,40.4,4.91,13.96,0.69,365.0597800925925,2.0585798926185888,0.0,0.0,1.2118055555555556,0.7086089893638192,0.0,0.0,0.12118055555555553,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.86975308641973,66.15104221653837,486.89768518518525,9.635195582932246,135.02723311546842,58.02342547942103,0.0,0.0,13.50272331154684,0.0,20
