,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
20,0,1,1,1,200000,ondemand,4,42.7,4.73,4.29,0.13,107680.14723557694,1855.6038624888838,0.0,0.0,97.47115384615384,6.715943850317599,0.0,0.0,9.747115384615384,0.0,0.0,0.0,107680.40876068376,1851.5028152444906,0.0,0.0,707.3693910256411,16.87570754874792,0.0,70.7369391025641,430750.87174145307,7471.715638375228,430750.8763354701,7471.714855088537,943.7051282051282,45.74865050144196,0.0,0.0,94.37051282051281,0.0
21,0,2,1,1,200000,ondemand,4,7.21,0.18,1.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,3,1,1,200000,ondemand,4,7.29,0.19,1.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,1,1,200000,ondemand,8,57.31,4.76,5.38,0.19,198500.67648237184,1072.385433270448,0.0,0.0,144.53365384615387,4.956332359884339,0.0,0.0,14.453365384615385,0.0,0.0,0.0,198490.4970219017,1130.563197013978,0.0,0.0,260.37677947052947,131.37180191240296,0.0,26.03767794705295,396996.1711004274,2177.546349074314,396996.1683226496,2177.546211128459,886.0641025641025,33.2674968149402,0.0,0.0,88.60641025641024,0.0
24,0,1,1,1,200000,ondemand,8,56.2,3.75,5.32,0.18,199209.01287393164,909.5738696373509,0.0,0.0,159.87660256410254,5.451007427225775,0.0,0.0,15.987660256410257,0.0,0.0,0.0,199206.2422008547,1001.1146723956524,0.0,0.0,210.74919871794873,115.05484124524642,0.0,21.074919871794872,398424.24647435895,1848.0326540654578,398424.244284188,1848.0301030578225,875.3621794871794,33.62557088119439,0.0,0.0,87.53621794871793,0.0
25,0,2,1,1,200000,ondemand,8,7.15,0.18,1.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,3,1,1,200000,ondemand,8,7.16,0.21,1.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,1,1,200000,ondemand,16,53.07,2.2,4.81,0.18,199982.54894497863,25.204259045305548,0.0,0.0,61.142628205128204,3.844070614606922,0.0,0.0,6.11426282051282,0.0,0.0,0.0,199978.17520032052,32.4559122204018,0.0,0.0,8.293924825174825,7.9246202294276,0.0,0.8293924825174825,199980.4810496795,23.8676550485527,199980.4893696581,23.864152106017592,463.7371794871795,17.977263159926373,0.0016025641025641,0.014062442928513013,46.373717948717946,0.0001602564102564
28,0,1,1,1,200000,ondemand,16,49.98,1.22,4.39,0.15,199968.5328659188,360.25637981146525,0.0,0.0,75.875,3.541463289260133,0.0,0.0,7.5875,0.0,0.0,0.0,199968.71506410258,373.4890281428809,0.0,0.0,15.226731601731602,7.734729432326846,0.0,1.52267316017316,199963.6088141026,338.7254216671329,199963.60576923075,338.72977491496204,444.14022435897436,12.75863174534793,0.011217948717948699,0.08588637749755675,44.41402243589744,0.0011217948717948314
29,0,2,1,1,200000,ondemand,16,7.07,0.1,1.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,3,1,1,200000,ondemand,16,7.07,0.19,1.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0,1,1,200000,ondemand,24,50.76,0.87,4.77,0.14,199999.5325587607,2.01615605690662,0.0,0.0,130.2323717948718,4.7390851205206594,0.0,0.0,13.023237179487179,0.0,0.0,0.0,199991.4409919941,13.583855663506077,0.0,0.0,0.3264964202464202,0.7252311266230136,0.0,0.03264964202464199,133328.41696937324,6.843896888482128,133328.42270299143,6.853600302628853,410.07799145299145,8.81620600252726,0.0,0.0,41.007799145299145,0.0
32,0,1,1,1,200000,ondemand,24,50.34,1.03,4.64,0.15,200000.0230635684,1.3538105821705728,0.0,0.0,145.81971153846155,4.8019577331844365,0.0,0.0,14.581971153846155,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,4.1185897435897445,3.1663106247280672,0.0,0.41185897435897434,133333.33333333337,2.9103830456733704e-11,133333.33333333337,2.9103830456733704e-11,425.08279914529913,9.093989437434388,0.0,0.0,42.508279914529915,0.0
33,0,2,1,1,200000,ondemand,24,7.21,0.42,1.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,3,1,1,200000,ondemand,24,7.22,0.24,1.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,1,1,200000,ondemand,32,52.85,1.76,4.95,0.17,200008.0747462607,75.859064895832,0.0,0.0,134.11298076923077,6.5217941652116425,0.0,0.0,13.411298076923076,0.0,0.0,0.0,199998.91144411144,31.816480025476967,0.0,0.0,0.2575861638361638,0.8343007286001842,0.0,0.025758616383616328,100000.27546073718,10.352493417694614,100000.2749465812,10.349926238762645,344.6486378205128,14.463649100988926,0.0,0.0,34.46486378205128,0.0
36,0,1,1,1,200000,ondemand,32,50.01,0.94,4.85,0.11,200000.05713141029,0.5022775073203967,0.0,0.0,149.7852564102564,6.052293161664272,0.0,0.0,14.97852564102564,0.0,0.0,0.0,199994.09194711538,12.287712837005081,0.0,0.0,3.6394855144855143,4.029349769640256,0.0,0.3639485514485515,99988.08637820513,19.942120991426968,99988.0782184829,19.957706882108813,408.1326121794872,30.105063472235877,0.27403846153846145,2.404677740775726,40.81326121794872,0.027403846153846112
